iter	Passed	Remaining
0	160	160365
1	163	81769
2	170	56633
3	181	45126
4	184	36669
5	187	30992
6	195	27706
7	228	28275
8	241	26646
9	244	24229
10	247	22284
11	252	20793
12	264	20072
13	277	19510
14	281	18482
15	295	18176
16	302	17470
17	305	16692
18	310	16028
19	313	15371
20	318	14854
21	321	14277
22	324	13791
23	329	13406
24	333	13019
25	337	12629
26	348	12575
27	351	12211
28	355	11897
29	357	11567
30	362	11316
31	364	11025
32	367	10771
33	372	10584
34	378	10443
35	382	10250
36	385	10023
37	388	9834
38	398	9825
39	401	9645
40	405	9475
41	409	9333
42	416	9259
43	418	9089
44	422	8968
45	426	8838
46	430	8720
47	433	8604
48	438	8515
49	443	8432
50	449	8365
51	452	8247
52	460	8236
53	469	8222
54	471	8105
55	475	8015
56	484	8008
57	489	7951
58	492	7853
59	497	7797
60	500	7699
61	503	7613
62	505	7523
63	511	7483
64	514	7404
65	521	7385
66	526	7327
67	528	7248
68	534	7206
69	536	7128
70	541	7089
71	544	7014
72	548	6970
73	551	6904
74	557	6880
75	562	6836
76	580	6954
77	582	6883
78	584	6818
79	589	6778
80	646	7332
81	649	7266
82	650	7186
83	663	7236
84	666	7172
85	677	7203
86	680	7142
87	703	7292
88	707	7245
89	721	7299
90	724	7234
91	726	7171
92	729	7115
93	735	7086
94	738	7030
95	740	6975
96	743	6921
97	747	6881
98	751	6836
99	755	6802
100	759	6762
101	766	6749
102	769	6700
103	771	6649
104	774	6598
105	782	6603
106	786	6560
107	789	6524
108	794	6496
109	797	6453
110	799	6402
111	801	6351
112	802	6300
113	804	6251
114	806	6204
115	810	6174
116	811	6124
117	813	6079
118	815	6033
119	816	5988
120	818	5944
121	819	5899
122	821	5856
123	825	5829
124	827	5789
125	829	5751
126	830	5711
127	832	5674
128	834	5636
129	836	5599
130	839	5567
131	840	5530
132	842	5493
133	844	5457
134	846	5422
135	848	5387
136	849	5353
137	852	5327
138	854	5293
139	856	5259
140	857	5226
141	859	5190
142	860	5157
143	862	5126
144	864	5096
145	867	5073
146	869	5043
147	870	5012
148	872	4983
149	874	4953
150	875	4924
151	877	4896
152	881	4879
153	883	4852
154	885	4824
155	886	4797
156	888	4770
157	890	4743
158	891	4717
159	893	4693
160	896	4671
161	898	4646
162	899	4621
163	901	4597
164	903	4572
165	905	4548
166	907	4525
167	908	4500
168	912	4485
169	913	4461
170	915	4438
171	917	4415
172	918	4393
173	920	4371
174	922	4349
175	924	4326
176	927	4311
177	928	4289
178	930	4268
179	932	4246
180	934	4228
181	936	4210
182	939	4192
183	943	4183
184	945	4163
185	946	4143
186	948	4124
187	950	4105
188	952	4086
189	954	4067
190	957	4055
191	959	4038
192	961	4020
193	963	4004
194	966	3988
195	968	3972
196	972	3962
197	974	3946
198	976	3931
199	979	3918
200	981	3901
201	983	3884
202	985	3868
203	987	3854
204	990	3840
205	992	3823
206	993	3806
207	995	3789
208	996	3773
209	998	3756
210	1002	3746
211	1003	3731
212	1005	3715
213	1007	3699
214	1008	3683
215	1010	3668
216	1012	3653
217	1014	3638
218	1018	3632
219	1021	3620
220	1024	3609
221	1028	3602
222	1032	3596
223	1035	3587
224	1038	3576
225	1040	3565
226	1043	3552
227	1047	3545
228	1050	3538
229	1055	3533
230	1057	3520
231	1061	3514
232	1066	3509
233	1069	3500
234	1071	3488
235	1083	3508
236	1086	3496
237	1088	3485
238	1092	3478
239	1097	3474
240	1105	3480
241	1114	3490
242	1119	3487
243	1122	3477
244	1133	3493
245	1136	3482
246	1142	3484
247	1145	3473
248	1148	3464
249	1151	3455
250	1170	3492
251	1173	3482
252	1176	3472
253	1178	3462
254	1181	3451
255	1197	3479
256	1202	3476
257	1208	3475
258	1211	3466
259	1215	3460
260	1246	3528
261	1250	3521
262	1252	3510
263	1254	3498
264	1257	3487
265	1268	3499
266	1270	3488
267	1272	3476
268	1274	3464
269	1282	3468
270	1286	3460
271	1318	3528
272	1321	3519
273	1331	3528
274	1336	3524
275	1343	3523
276	1345	3512
277	1347	3500
278	1350	3489
279	1358	3493
280	1361	3483
281	1509	3842
282	1521	3854
283	1615	4072
284	1619	4063
285	1677	4188
286	1680	4174
287	1684	4164
288	1688	4154
289	1691	4140
290	1693	4126
291	1696	4113
292	1700	4103
293	1708	4102
294	1727	4128
295	1932	4596
296	1936	4583
297	1939	4567
298	1954	4582
299	1958	4570
300	1961	4555
301	1965	4543
302	2038	4688
303	2040	4672
304	2046	4662
305	2049	4649
306	2061	4653
307	2065	4639
308	2067	4624
309	2070	4608
310	2073	4593
311	2078	4584
312	2081	4569
313	2084	4554
314	2089	4543
315	2092	4528
316	2094	4512
317	2097	4498
318	2099	4482
319	2104	4472
320	2107	4458
321	2110	4442
322	2112	4427
323	2114	4412
324	2124	4411
325	2127	4399
326	2145	4415
327	2147	4400
328	2166	4419
329	2171	4408
330	2179	4404
331	2181	4390
332	2188	4382
333	2204	4395
334	2213	4394
335	2216	4379
336	2219	4366
337	2221	4351
338	2228	4345
339	2242	4353
340	2255	4359
341	2262	4352
342	2264	4338
343	2266	4323
344	2269	4308
345	2271	4293
346	2275	4281
347	2276	4265
348	2278	4250
349	2280	4235
350	2282	4219
351	2284	4204
352	2285	4189
353	2289	4177
354	2291	4162
355	2292	4147
356	2294	4132
357	2296	4117
358	2298	4103
359	2299	4088
360	2304	4078
361	2305	4063
362	2307	4049
363	2309	4034
364	2310	4020
365	2312	4006
366	2314	3991
367	2316	3979
368	2319	3966
369	2322	3953
370	2323	3940
371	2325	3926
372	2327	3912
373	2329	3898
374	2330	3884
375	2334	3873
376	2335	3860
377	2337	3846
378	2339	3832
379	2340	3819
380	2343	3807
381	2345	3794
382	2348	3783
383	2350	3770
384	2352	3757
385	2353	3744
386	2355	3731
387	2357	3719
388	2359	3706
389	2361	3693
390	2364	3682
391	2366	3669
392	2367	3657
393	2369	3644
394	2371	3632
395	2373	3620
396	2375	3607
397	2378	3597
398	2380	3585
399	2381	3572
400	2383	3560
401	2386	3549
402	2388	3537
403	2389	3525
404	2392	3515
405	2394	3503
406	2396	3491
407	2397	3479
408	2399	3467
409	2401	3455
410	2403	3443
411	2404	3432
412	2408	3422
413	2409	3411
414	2411	3399
415	2413	3388
416	2415	3377
417	2417	3365
418	2419	3354
419	2420	3342
420	2422	3332
421	2424	3321
422	2426	3310
423	2428	3298
424	2430	3287
425	2431	3276
426	2433	3265
427	2436	3256
428	2438	3245
429	2440	3234
430	2441	3223
431	2443	3212
432	2445	3201
433	2446	3190
434	2448	3180
435	2452	3172
436	2454	3161
437	2455	3151
438	2457	3140
439	2459	3129
440	2460	3119
441	2462	3109
442	2464	3098
443	2467	3089
444	2469	3079
445	2470	3069
446	2472	3059
447	2474	3048
448	2476	3038
449	2477	3028
450	2480	3019
451	2482	3009
452	2484	2999
453	2485	2989
454	2487	2979
455	2489	2969
456	2491	2959
457	2492	2950
458	2496	2942
459	2498	2932
460	2499	2922
461	2501	2912
462	2503	2903
463	2504	2893
464	2506	2883
465	2508	2874
466	2512	2867
467	2513	2857
468	2515	2847
469	2516	2838
470	2518	2828
471	2520	2819
472	2522	2810
473	2525	2802
474	2527	2793
475	2529	2784
476	2530	2774
477	2532	2765
478	2534	2756
479	2536	2747
480	2538	2738
481	2541	2731
482	2542	2721
483	2544	2712
484	2546	2703
485	2547	2694
486	2550	2686
487	2551	2677
488	2553	2668
489	2556	2660
490	2558	2651
491	2559	2643
492	2561	2634
493	2562	2625
